Run,Loc_Score,Angle_Score,stddev,gamma,d_long,d_short,k1,k2,k3,k4
42,8.02744,0.36693,0.06950510071273085,0.4709737131643924,1.4215176308863835,0.2897175777960924,0.3378883681539284,0.18934454002312812,0.3920483593200026,0.15174192530669572
43,8.02879,0.34097,0.07469273128321553,0.8909851253002576,1.4417891566425598,0.24881161150982184,0.27885499538260733,0.26826509472274823,0.23953961208103042,0.2184889771970495
44,8.01862,0.36288,0.14729622985432228,0.2707203454786702,1.3619723969095894,0.2852623721845844,0.11745165190182023,0.09008465286830046,0.3511533493194561,0.3774051765245895
45,7.93826,0.33883,0.161530348857982,0.10270747271240907,1.3976127525010102,0.28386976925669655,0.4357741265054333,0.0735563348496543,0.2618019695708213,0.2447331193314495
46,7.96811,0.37548,0.20102820933384752,0.4361373345063845,1.3956386546923265,0.2163924734096612,0.11879082984596151,0.23680497401870887,0.17421114437109075,0.08466153928824448
47,7.99942,0.37456,0.09616118701185052,0.2650409274734754,1.350306098618943,0.2138445623605518,0.1302238183983238,0.26685331873686824,0.2152608557026793,0.3604744224613257
48,8.04604,0.36148,0.27491476867580616,0.4624317868167198,1.306400145952111,0.24079772476473488,0.3791775942929833,0.10950298932184065,0.42058185458636155,0.031515098751629646
49,8.03053,0.3505,0.14494669138961036,0.8243732491781132,1.3778277350237613,0.29207071236977655,0.4458525930657013,0.03361965708482232,0.19961251879339412,0.2683336013768141
50,7.91998,0.36287,0.2354456069022226,0.8824077222096065,1.3992408302065305,0.24614602176305456,0.44810300894101424,0.24048858306476525,0.29162982158071526,0.35752165388713464
51,7.98683,0.34247,0.2728847969582041,0.3352161893595667,1.3707190259767972,0.29078085516872354,0.4312092051661211,0.1984577967035996,0.1530194866648655,0.25597138487779275
52,8.05566,0.33943,0.06008119572401345,0.20056307945996343,1.3006690943140096,0.29504136833799033,0.20688773570162383,0.012831473766204558,0.3693145042604369,0.3454750922639835
53,7.97105,0.33358,0.2568301859969493,0.8545042935881626,1.4272090665888266,0.26204819549468217,0.0829662853615984,0.29172163240813914,0.20135623290745958,0.19560556562884043
54,7.90253,0.34268,0.18427079849068367,0.8241288003171134,1.414873456199225,0.29963394406117916,0.37042006351277695,0.11932055662144048,0.36578922314870677,0.10259410977581541
55,8.02653,0.33675,0.21075007269683427,0.3978604344322033,1.3829005979748517,0.2676234974456304,0.2792504521182178,0.18850629595494922,0.386372024994854,0.11815138862936816
56,7.99257,0.35308,0.24653147246219587,0.800861267581055,1.3251934506071252,0.22797202176352374,0.2951536931170025,0.1420130723611592,0.35989724262322975,0.048580182371409715
57,8.01089,0.3685,0.11159049263986033,0.6237989715336375,1.3932815378403118,0.27187151625287564,0.4136179585270484,0.0842756165124868,0.3389148442839134,0.07634301575855586
